sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	fulfillment-channel	handling-time
3577VCT	158,3	79,15	316,6	127		
308801CLM	25,65	12,82	51,3	99		
28105SG	18,4	9,2	36,8	0		
28118SG	18,4	9,2	36,8	0		
28094SG	21,5	10,75	43	0		
28106SG	21,5	10,75	43	0		
28119SG	20,2	10,1	40,4	74		
28110SG	32,5	16,25	65	0		
28113SG	32,5	16,25	65	0		
28111SG	37,1	18,55	74,2	83		
28114SG	39,9	19,95	79,8	0		
28112SG	47,9	23,95	95,8	0		
28108SG	24	12	48	0		
28120SG	24	12	48	0		
28096SG	28,3	14,15	56,6	0		
28109SG	28,3	14,15	56,6	0		
28121SG	26,6	13,3	53,2	0		
28855SG	184,5	92,25	369	17		
28774SG	85,4	42,7	170,8	46		
28864SG	135,1	67,55	270,2	0		
28863SG	144,4	72,2	288,8	0		
28868SG	137,9	68,95	275,8	0		
28866SG	133,3	66,65	266,6	0		
28871SG	147,4	73,7	294,8	0		
28865SG	134,3	67,15	268,6	19		
28772SG	79,3	39,65	158,6	0		
28872SG	94	47	188	0		
28861SG	128,4	64,2	256,8	0		
28850SG	185,5	92,75	371	0		
28848SG	199,9	99,95	399,8	0		
28839SG	148,1	74,05	296,2	0		
28846SG	190,1	95,05	380,2	0		
28851SG	170,7	85,35	341,4	0		
28843SG	135,8	67,9	271,6	0		
28852SG	175,4	87,7	350,8	0		
28840SG	37,2	18,6	74,4	0		
28842SG	127,3	63,65	254,6	20		
28775SG	60,2	30,1	120,4	0		
28770SG	77,1	38,55	154,2	0		
28768SG	84,1	42,05	168,2	0		
28845SG	165,5	82,75	331	0		
28634SG	85,7	42,85	171,4	0		
28673SG	83,5	41,75	167	0		
28674SG	78,7	39,35	157,4	0		
28675SG	64,8	32,4	129,6	0		
28672SG	90	45	180	0		
28669SG	91,6	45,8	183,2	0		
27194SG	32,5	16,25	65	0		
27202SG	32,8	16,4	65,6	0		
27195SG	39	19,5	78	124		
27203SG	39	19,5	78	170		
27198SG	46,9	23,45	93,8	34		
27210SG	46,6	23,3	93,2	0		
27221SG	25,2	12,6	50,4	0		
27222SG	32,6	16,3	65,2	0		
28337SGR	25,2	12,6	50,4	0		
28324SG	27,9	13,95	55,8	0		
28327SGR	22,7	11,35	45,4	0		
28325SG	48,8	24,4	97,6	0		
28320SG	68,8	34,4	137,6	0		
28322SG	42,4	21,2	84,8	0		
28323SG	38,1	19,05	76,2	0		
28338SG	126,2	63,1	252,4	0		
28460SG	19,6	9,8	39,2	0		
28881SG	23,6	11,8	47,2	0		
28882SG	22,3	11,15	44,6	40		
28884SG	27,5	13,75	55	25		
27879SG	31	15,5	62	0		
27880SG	35,9	17,95	71,8	61		
28538SG	34,7	17,35	69,4	0		
28887SG	15	7,5	30	0		
28886SGR	52,9	26,45	105,8	55		
27999SG	46,4	23,2	92,8	0		
28004SG	37,2	18,6	74,4	0		
27873SGR	31,5	15,75	63	131		
28618SG	71,5	35,75	143	0		
28649SG	1014,1	507,05	2028,2	0		
28613SG	43,6	21,8	87,2	34		
28122SG	35	17,5	70	0		
28880SG	14,1	7,05	28,2	0		
28878SG	16	8	32	0		
28334SG	50,9	25,45	101,8	0		
28330SG	50,9	25,45	101,8	0		
28328SG	50,9	25,45	101,8	0		
28319SG	51,6	25,8	103,2	0		
28329SG	50,9	25,45	101,8	0		
28333SG	50,9	25,45	101,8	0		
28086SGR	97,7	48,85	195,4	0		
28089SG	28,9	14,45	57,8	0		
28088SG	30,7	15,35	61,4	0		
28090SG	37,5	18,75	75	0		
28060SG	118,6	59,3	237,2	0		
28062SG	115,2	57,6	230,4	0		
28065SG	96,6	48,3	193,2	0		
28079SG	64,2	32,1	128,4	0		
28078SG	102,9	51,45	205,8	0		
28063SG	107,2	53,6	214,4	0		
28064SG	137,9	68,95	275,8	0		
28076SG	19,1	9,55	38,2	0		
28056SGR	48,3	24,15	96,6	0		
28072SG	40,5	20,25	81	0		
28074SG	92,4	46,2	184,8	0		
28622SG	41,2	20,6	82,4	0		
28805SG	23,5	11,75	47	77		
28364SG	87,8	43,9	175,6	0		
28367SGR	22,7	11,35	45,4	0		
28362SG	109	54,5	218	0		
28369SG	74,7	37,35	149,4	0		
28384SG	134,8	67,4	269,6	0		
28388SG	41,8	20,9	83,6	0		
28380SG	41,8	20,9	83,6	0		
28378SG	51,6	25,8	103,2	0		
28385SG	51,6	25,8	103,2	0		
28370SG	51,6	25,8	103,2	0		
28373SG	76,8	38,4	153,6	0		
28379SG	76,8	38,4	153,6	0		
28383SG	77,1	38,55	154,2	0		
28857SG	40	20	80	0		
28564SG	122,2	61,1	244,4	0		
28652SG	449	224,5	898	0		
28639SG	345,3	172,65	690,6	0		
27850SG	689,1	344,55	1378,2	4		
28430SG	20,3	10,15	40,6	0		
28432SG	20,3	10,15	40,6	0		
28425SG	29,5	14,75	59	0		
28426SG	28,5	14,25	57	44		
28429SG	30,7	15,35	61,4	29		
28424SG	44,8	22,4	89,6	0		
28453SG	87,8	43,9	175,6	0		
28809SG	18,1	9,05	36,2	0		
28806SGR	57,2	28,6	114,4	0		
28784SG	41,8	20,9	83,6	0		
28799SG	50,9	25,45	101,8	0		
28783SG	36,6	18,3	73,2	0		
28782SG	26,4	13,2	52,8	0		
28781SG	38,1	19,05	76,2	0		
28765SG	26,4	13,2	52,8	0		
28766SG	37,8	18,9	75,6	0		
28745SG	31,9	15,95	63,8	0		
28746SG	41,8	20,9	83,6	0		
28748SG	26,4	13,2	52,8	0		
28749SG	31,6	15,8	63,2	0		
28795SG	51,9	25,95	103,8	0		
28796SGR	11,1	5,55	22,2	0		
28794SG	101,7	50,85	203,4	0		
27986SGR	23,8	11,9	47,6	0		
27982SG	33,7	16,85	67,4	79		
27983SG	33,7	16,85	67,4	66		
28020SG	44,2	22,1	88,4	0		
28022SG	27,9	13,95	55,8	0		
27979SG	68,5	34,25	137	0		
27974SG	38,5	19,25	77	0		
28016SGR	55,1	27,55	110,2	0		
27968SG	43,2	21,6	86,4	0		
28014SG	38,7	19,35	77,4	0		
28015SG	46,4	23,2	92,8	0		
28024SG	53,1	26,55	106,2	0		
28023SG	35,9	17,95	71,8	52		
27520SG	54,7	27,35	109,4	0		
27441SG	128,6	64,3	257,2	0		
27439SG	153,5	76,75	307	9		
27440SG	152,4	76,2	304,8	0		
27996SGR	25,3	12,65	50,6	23		
27993SG	104	52	208	10		
28028SG	23,3	11,65	46,6	0		
27975SG	38,5	19,25	77	0		
28026SGR	20,2	10,1	40,4	0		
28029SG	23,3	11,65	46,6	0		
28005SG	27,9	13,95	55,8	0		
27515SG	41	20,5	82	0		
27519SG	25,8	12,9	51,6	0		
27518SG	41,4	20,7	82,8	0		
