ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0CC3HKK98,B0CC3HKK98,"ROCKING GIFTS Adorno de Pared Ancora con Mensajes, Madera, 37x40 cm",29419SGRGFBA,14,0,0.01%,0.00%,18,0,0.01%,0.00%,100.00%,0.00%,1,0,7.14%,0.00%,"17,95 €","0,00 €",1,0
B0CM27DYCY,B0CC3P6YDX,"ROCKING GIFTS Armario Llavero Buda para Colgar en Pared o de Sobremesa, Madera MDF Marrón y Blanco, Colgador Llaves Organizador para Entrada Recibidor, Decoración Elegante y Étnica, 26 cm",29878SGFBA,182,4,0.10%,0.09%,231,8,0.09%,0.13%,99.06%,100.00%,1,0,0.55%,0.00%,"29,99 €","0,00 €",1,0
B0CG839K62,B0CC3QKBZ4,"ROCKING GIFTS Figura Decorativa Clásica Pequeña, Oshun Diosa del Amor Belleza y Matrimonio, Resina Efecto Bronce Antiguo, Escultura de Mitologia Yoruba Africana, 9 cm",27379SGFBA,171,1,0.09%,0.02%,258,1,0.10%,0.02%,97.71%,100.00%,1,0,0.58%,0.00%,"23,95 €","0,00 €",1,0
B0CHCJXXL3,B0CC3W37N7,"ROCKING GIFTS Figura Decorativa de Resina Busto Africana con Cesta, 14x23 cm, vaciabolsillos, Decoracion etnica",30063SGFBA,7,0,0.00%,0.00%,12,0,0.00%,0.00%,100.00%,0.00%,1,0,14.29%,0.00%,"29,95 €","0,00 €",1,0
B0CWVPC3NH,B0CC3X2DGD,"ROCKING GIFTS Perchero Pared Percha de Madera Marron y Blanco, Pueblo con Casitas, Colgador Decorativo para Entrada Recibidor, 23 cm",30128SGFBA,65,1,0.03%,0.02%,84,1,0.03%,0.02%,100.00%,0.00%,1,0,1.54%,0.00%,"29,95 €","0,00 €",1,0
B0CLF7YDF9,B0CL39R9B4,"ROCKING GIFTS Corazón de Cuarzo Azul Natural y Pulido, Piedras Preciosas, Chakra, Reiki, Meditación, Regalo para Mujeres y Hombres",12316VCFBA,2,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,"13,75 €","0,00 €",1,0
B0CL39RBRX,B0CL39RBRX,ROCKING GIFTS Donut Grande de Fluorita Verde Natural para Decoración de Piedras y Minerales,12880VC,14,0,0.01%,0.00%,21,0,0.01%,0.00%,94.74%,0.00%,1,0,7.14%,0.00%,"13,80 €","0,00 €",1,0
B0CLFG569Y,B0CL39X2HZ,"ROCKING GIFTS Llavero de shungit rodado con baño Dorado, Piedra Natural para protección, energía y Equilibrio, Ideal para Hombres y Mujeres",11650VC,17,0,0.01%,0.00%,23,0,0.01%,0.00%,95.00%,0.00%,1,0,5.88%,0.00%,"10,80 €","0,00 €",1,0
B0CLFH4D8V,B0CL3B9KSY,"ROCKING GIFTS Péndulo Karnak Atlante de Bronce: Herramienta de adivinación poderosa y precisa para la curación, la meditación y la visualización",12865VC,27,0,0.01%,0.00%,45,0,0.02%,0.00%,100.00%,0.00%,2,0,7.41%,0.00%,"19,00 €","0,00 €",1,0
B0CLF7YDF9,B0CL3BGKJX,ROCKING GIFTS Corazón de Amazonita Natural - Piedra de la Paz y la Tranquilidad - Piedra Energética para la Meditación y la Concentración - Regalo para Mujeres y Hombres,12321VC,5,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,1,0,20.00%,0.00%,"10,80 €","0,00 €",1,0
B0CLFH4D8V,B0CL3BGX2C,ROCKING GIFTS Péndulo de Cuarzo Verde Facetado | Piedra Natural | Chakra | Meditación | Reiki,11558VC,185,6,0.10%,0.13%,251,8,0.09%,0.13%,96.46%,100.00%,1,0,0.54%,0.00%,"8,75 €","0,00 €",1,0
B0CLFH4D8V,B0CL3BK5H9,ROCKING GIFTS Péndulo cónico en baño de Plata | Colgante de péndulo | Joyería Espiritual | Amuleto de péndulo | Decoración del hogar,11070VC,33,0,0.02%,0.00%,38,0,0.01%,0.00%,100.00%,0.00%,1,0,3.03%,0.00%,"10,95 €","0,00 €",1,0
B0CL3BL6LP,B0CL3BL6LP,ROCKING GIFTS Puntas de Aqua Aura Blanca en Bruto (250gr) - Cristales de Cuarzo Natural - Piedras Preciosas,12735VC,28,1,0.01%,0.02%,37,1,0.01%,0.02%,93.55%,0.00%,1,0,3.57%,0.00%,"22,95 €","0,00 €",1,0
B0CL3BP4PK,B0CL3BP4PK,"ROCKING GIFTS Pirita Chispa pequeña Natural para Manualidades, decoración y joyería - 1 Unidad",12606VC,11,0,0.01%,0.00%,19,0,0.01%,0.00%,100.00%,0.00%,1,0,9.09%,0.00%,"3,95 €","0,00 €",1,0
B0FN4L23PQ,B0CL3BQNYK,ROCKING GIFTS Colgante de Selenita Luna Natural - Piedra de Protección y Purificación - Tamaño Grande,amzn.gr.11943VC-BS3TmI46gXVNHzekKGAI_-VG,284,3,0.15%,0.07%,381,3,0.14%,0.05%,98.89%,100.00%,1,0,0.35%,0.00%,"4,95 €","0,00 €",1,0
B0CL3BR2S4,B0CL3BR2S4,ROCKING GIFTS Tabletas Incienso de Palo Santo & Rosa - Ispalla,11666VC,9,1,0.00%,0.02%,11,1,0.00%,0.02%,100.00%,100.00%,1,0,11.11%,0.00%,"5,80 €","0,00 €",1,0
B0CLFH4D8V,B0CL3BVMZT,ROCKING GIFTS Péndulo Ojo Turco en Baño de Plata (PEND96),12885VC,18,0,0.01%,0.00%,18,0,0.01%,0.00%,100.00%,0.00%,1,0,5.56%,0.00%,"9,50 €","0,00 €",1,0
B0FN4L23PQ,B0CL3BXDVZ,ROCKING GIFTS Colgante de Selenita Hoja Natural - Piedras Naturales - Chakras - Meditación - Regalo,11945VC,112,1,0.06%,0.02%,137,1,0.05%,0.02%,97.73%,100.00%,1,0,0.89%,0.00%,"9,95 €","0,00 €",1,0
B0CLFH4D8V,B0CL3BXW8D,ROCKING GIFTS Péndulo Espiral en Baño de Plata,12455VC,38,1,0.02%,0.02%,46,1,0.02%,0.02%,95.45%,0.00%,1,0,2.63%,0.00%,"8,10 €","0,00 €",1,0
B0CLFG569Y,B0CL3BYD4B,ROCKING GIFTS Llavero de Amatista Chevron en Bruto - Piedra Natural de Color Violeta - Regalo Original y Significativo,12236VC,43,2,0.02%,0.04%,71,2,0.03%,0.03%,98.55%,100.00%,1,0,2.33%,0.00%,"7,35 €","0,00 €",1,0
B0CLBDVQB5,B0CLBDVQB5,"ROCKING GIFTS Pulsera de Pirita 10mm, Joyería Natural, Piedra Preciosa, Regalo para Mujeres y Hombres",11066VCFBA,69,2,0.04%,0.04%,108,2,0.04%,0.03%,100.00%,0.00%,3,0,4.35%,0.00%,"64,47 €","0,00 €",1,0
B0CLDZNT3M,B0CLBF15JT,"ROCKING GIFTS Cabujón de Amazonita (30g) - Piedras Naturales para Joyería, Decoración y Regalo",12359VC,19,0,0.01%,0.00%,24,0,0.01%,0.00%,95.24%,0.00%,1,0,5.26%,0.00%,"10,55 €","0,00 €",1,0
B0CLBFT3QL,B0CLBFT3QL,"ROCKING GIFTS Colgante de ámbar Redondo Natural (1-3g) para Mujer y Hombre, Collar de Piedra Preciosa, joyería de protección",12728VC,81,1,0.04%,0.02%,112,1,0.04%,0.02%,100.00%,0.00%,1,0,1.23%,0.00%,"9,45 €","0,00 €",1,0
B0CLDZNT3M,B0CLBQW5QM,"ROCKING GIFTS Cabujón de Jaspe de Madera petrificada (Pack de 30gr) - Piedra Natural para joyería, decoración y Regalos",11060VC,16,0,0.01%,0.00%,19,0,0.01%,0.00%,100.00%,0.00%,1,0,6.25%,0.00%,"15,10 €","0,00 €",1,0
B0CNKWMYRT,B0CLZW8KMQ,ROCKING GIFTS Colgante de Shungit Media Luna,7495RGVC,140,6,0.07%,0.13%,157,6,0.06%,0.10%,99.34%,100.00%,2,0,1.43%,0.00%,"21,60 €","0,00 €",1,0
B0CNKWMYRT,B0CLZXPSVR,ROCKING GIFTS Colgante de Shungit Arbol de la Vida Pequeño,7278RGVC,143,4,0.07%,0.09%,200,4,0.08%,0.06%,97.03%,100.00%,1,0,0.70%,0.00%,"19,50 €","0,00 €",1,0
B0CNT99D3V,B0CNS8T9BS,"ROCKING GIFTS Cubo de Palomitas de 2,8L para Hacer deliciosas Palomitas de maíz en casa - Ideal para Disfrutar de películas y Eventos Deportivos - Fácil de Usar y Limpiar",247731CLM,87,1,0.05%,0.02%,104,1,0.04%,0.02%,94.79%,0.00%,1,0,1.15%,0.00%,"9,99 €","0,00 €",1,0
B0CNT99D3V,B0CNS8T9BS,"ROCKING GIFTS Cubo de Palomitas de 2,8L para Hacer deliciosas Palomitas de maíz en casa - Ideal para Disfrutar de películas y Eventos Deportivos - Fácil de Usar y Limpiar",247731CLMFBA,87,1,0.05%,0.02%,104,1,0.04%,0.02%,94.79%,0.00%,1,0,1.15%,0.00%,"9,99 €","0,00 €",1,0
B0CS424CCX,B0CPJSBYB9,ROCKING GIFTS Hucha Hamburguesa - Ahorra Dinero de Forma Divertida - Ideal para Amantes de la Comida rápida - Diseño Realista,308502CLM,3,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,1,0,33.33%,0.00%,"19,40 €","0,00 €",1,0
B0CPJSCDKG,B0CPJSCDKG,ROCKING GIFTS Caja de Terciopelo Mostaza - Organizador de Joyas y Accesorios,307309CLM,5,1,0.00%,0.02%,5,1,0.00%,0.02%,100.00%,100.00%,1,0,20.00%,0.00%,"10,10 €","0,00 €",1,0
B0CPJSPXYP,B0CPJSPXYP,ROCKING GIFTS Burlete Cortavientos Perro Marrón 2m Goma Aislamiento Intemperie Protección 90 cm,22212932CLM,20,0,0.01%,0.00%,30,0,0.01%,0.00%,100.00%,0.00%,1,0,5.00%,0.00%,"28,40 €","0,00 €",1,0
B0CS424CCX,B0CPJSYR8W,ROCKING GIFTS Hucha Unicornio - Diseño Adorable para Ahorrar Dinero - Ideal para niños y Adultos - Decoración Encantadora para el hogar Cualquier ocasión - Duradera y Resistente,308517CLM,4,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,1,0,25.00%,0.00%,"20,80 €","0,00 €",1,0
B0BVWKBBJR,B0CPJSYYSM,"ROCKING GIFTS Espejo de Pared en Forma de Ventana, tamaño 90x137cm, Color Negro. Ideal para Decorar Cualquier Espacio.",294748CLM,82,1,0.04%,0.02%,110,1,0.04%,0.02%,93.20%,100.00%,1,0,1.22%,0.00%,"187,75 €","0,00 €",1,0
B0CPJT5XC9,B0CPJT5XC9,ROCKING GIFTS Cojín para Tablet Basics - Soporte cómodo y ergonómico para tu Tablet,2714221CLM,20,0,0.01%,0.00%,32,0,0.01%,0.00%,100.00%,0.00%,1,0,5.00%,0.00%,"29,90 €","0,00 €",1,0
B0CPJT5XCJ,B0CPJT5XCJ,"ROCKING GIFTS Mantel Individualde plástico Gris, Diseño Panot de Barcelona",23481609CLM,34,0,0.02%,0.00%,53,0,0.02%,0.00%,93.33%,0.00%,3,0,8.82%,0.00%,"24,00 €","0,00 €",1,0
B0DJTHPS5Y,B0CPJT77RW,ROCKING GIFTS Macetero Plano de Ceramica Flores Lila 16x16 cm,308808CLM,18,0,0.01%,0.00%,25,0,0.01%,0.00%,100.00%,0.00%,1,0,5.56%,0.00%,"25,85 €","0,00 €",1,0
B0CX9MJ5X3,B0CPJTDP5X,"ROCKING GIFTS Juego de Baño de Cerámica con Dispensador de Jabón y Vaso, Set de Baño con Diseño de Rayas en Colores Neutros, Accesorios Elegantes para Lavabo, 17x7 cm",amzn.gr.22213081CLMFBA-4L7O5ifgOZY-0r-VG,"1,032",23,0.54%,0.50%,"1,398",35,0.53%,0.56%,99.84%,100.00%,1,0,0.10%,0.00%,"9,00 €","0,00 €",1,0
B0CPJTGT32,B0CPJTGT32,Set de x2 Papel de regalo con letras en 2 modelos - Ideal para envolver regalos,3041144CLM,2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,"10,40 €","0,00 €",1,0
B0CPJTSWHW,B0CPJTSWHW,ROCKING GIFTS Mantel Individual Base de Corcho Panot Individual de 40x30 cm,23481583CLM,6,0,0.00%,0.00%,7,0,0.00%,0.00%,100.00%,0.00%,2,0,33.33%,0.00%,"22,60 €","0,00 €",1,0
B0CV49VMPW,B0CV49VMPW,"ROCKING GIFTS Calcita Amarilla en Bruto Pequeña 1kg - Mineral Natural de Brasil, Tamaño 5-6cm, Peso 115gr, Ideal para Coleccionistas, Decoración y Terapias Holísticas",10322VCT,3,0,0.00%,0.00%,5,0,0.00%,0.00%,20.00%,0.00%,1,0,33.33%,0.00%,"24,00 €","0,00 €",1,0
B0CV4BLFHQ,B0CV4BLFHQ,Péndulo Facetado de Obsidiana Negra para Radiestesia y Meditación - Equilibrio Energético y Protección Espiritual - Herramienta de Adivinación con Propiedades de Purificación y Claridad Mental,4905VCT,11,0,0.01%,0.00%,14,0,0.01%,0.00%,92.31%,0.00%,1,0,9.09%,0.00%,"8,75 €","0,00 €",1,0
B0CV4C83LZ,B0CV4C83LZ,"Péndulo Isis 10 baterías con testigo de bronce para radiestesia, equilibrio energético y meditación; herramienta precisa para prácticas de sanación, armonización y detección de energías sutiles.",4917VCT,65,2,0.03%,0.04%,102,2,0.04%,0.03%,91.11%,100.00%,1,0,1.54%,0.00%,"11,40 €","0,00 €",1,0
B0CV4C83LZ,B0CV4C83LZ,"Péndulo Isis 10 baterías con testigo de bronce para radiestesia, equilibrio energético y meditación; herramienta precisa para prácticas de sanación, armonización y detección de energías sutiles.",4917VCFBA,65,2,0.03%,0.04%,102,2,0.04%,0.03%,91.11%,100.00%,1,0,1.54%,0.00%,"12,95 €","0,00 €",1,0
B0CV4D42ZZ,B0CV4D42ZZ,ROCKING GIFTS Punta de Flecha de Obsidiana Pequeña: Herramienta Artesanal para Coleccionistas y Entusiastas,4890VCT,54,3,0.03%,0.07%,67,3,0.03%,0.05%,100.00%,100.00%,2,0,3.70%,0.00%,"13,90 €","0,00 €",1,0
B0CV4DDP52,B0CV4DDP52,"Péndulo Egipcio de Jaspe Rojo - Herramienta de Radiestesia para Meditación y Sanación, Tamaño 1.5 x 5 cm, Procedencia Brasil, Energía y Equilibrio, Ideal para Terapias Holísticas y Espirituales",13356VCT,11,0,0.01%,0.00%,13,0,0.00%,0.00%,100.00%,0.00%,1,0,9.09%,0.00%,"11,25 €","0,00 €",1,0
B0CV4DHXB5,B0CV4DHXB5,ROCKING GIFTS Topacio Imperial,3789VCT,17,0,0.01%,0.00%,21,0,0.01%,0.00%,100.00%,0.00%,1,0,5.88%,0.00%,"9,55 €","0,00 €",1,0
B0CLFH4D8V,B0CV4DRPL2,"ROCKING GIFTS Péndulo Karnak ISIS 4 baterías con Testigo de Bronce - Herramienta de Radiestesia para Detección de Energías, Meditación y Sanación, Alta Precisión y Durabilidad",4916VCT,59,0,0.03%,0.00%,69,0,0.03%,0.00%,100.00%,0.00%,1,0,1.69%,0.00%,"9,50 €","0,00 €",1,0
B0CLFH4D8V,B0CV4F35ML,"ROCKING GIFTS Péndulo ISIS cónico de Cobre - Herramienta de radiestesia para sanación energética y Equilibrio de Chakras, diseño ergonómico y precisión en mediciones.",4921VCT,56,0,0.03%,0.00%,71,0,0.03%,0.00%,100.00%,0.00%,1,0,1.79%,0.00%,"11,25 €","0,00 €",1,0
B0BX7941C9,B0CV4HT19Z,"ROCKING GIFTS Colgante de Amatista con Punta Encanto Hipnótico, Cristales Curativos de Sanación, Equilibrio Chakra, Amuleto Espiritual para Protección, Purificación y Despertar",10184VCT,15,0,0.01%,0.00%,17,0,0.01%,0.00%,100.00%,0.00%,1,0,6.67%,0.00%,"8,05 €","0,00 €",1,0
B0CVNJX6HY,B0CVNBK5SP,"ROCKING GIFTS Cesta de Metal con Asas de Madera, Color Blanco, 26 cm",2293658CLMFBA,25,2,0.01%,0.04%,36,3,0.01%,0.05%,96.97%,100.00%,1,0,4.00%,0.00%,"23,95 €","0,00 €",1,0
B0CW6L8F69,B0CW6L8F69,"ROCKING GIFTS Espejo de Pared Redondo con Flor de Loto en Metal Efecto Viejo Oxidado, Adorno Decorativo para Pared, Cuadro Decoración Mural Étnico, 50 cm",31261SG,35,1,0.02%,0.02%,62,1,0.02%,0.02%,98.15%,100.00%,1,0,2.86%,0.00%,"73,10 €","0,00 €",1,0
B0CJFJLBGS,B0CW6LZ2J3,"ROCKING GIFTS Salvamantel de Cerámica Diseño Peces Azul, Modelo Surtido (1 Unidad), Bandeja Tabla Cortar Original, 24 cm",29310SG,29,1,0.02%,0.02%,35,1,0.01%,0.02%,94.12%,100.00%,1,0,3.45%,0.00%,"10,50 €","0,00 €",1,0
B0CW6M3K1F,B0CW6M3K1F,"ROCKING GIFTS Apoyador de Incienso Decorativo de Madera con 7 Chakras Colorido, Quemador Barilla Incienso Decoración Étnica, 25 cm",30454SG,10,0,0.01%,0.00%,11,0,0.00%,0.00%,100.00%,0.00%,1,0,10.00%,0.00%,"6,50 €","0,00 €",1,0
B0CW6MBDZQ,B0CW6MBDZQ,"ROCKING GIFTS Portavelas Cristal Azul, Candelabro Decorativo Étnico, Decoración Ambiente Relajante, 11 cm",31289SG,34,0,0.02%,0.00%,50,0,0.02%,0.00%,100.00%,0.00%,2,0,5.88%,0.00%,"21,00 €","0,00 €",1,0
B0CW6MDT96,B0CW6MDT96,"ROCKING GIFTS Pequeña Figura Decorativa Mono con Cuenco Dorado, Resina Dorada, Vaciabolsillos para Entrada Recibidor Original y, Decoración Entrada Recibidor y Salón, 16 cm",30340SG,49,2,0.03%,0.04%,54,2,0.02%,0.03%,98.04%,100.00%,1,0,2.04%,0.00%,"29,70 €","0,00 €",1,0
B0CWSFHD1S,B0CW6MTFD5,ROCKING GIFTS Lampara de Sobremesa Mosaico Bola Cristal 25 cm,32376SG,130,3,0.07%,0.07%,166,7,0.06%,0.11%,97.20%,100.00%,1,1,0.77%,33.33%,"82,52 €","82,52 €",1,1
B0CW6N3BXB,B0CW6N3BXB,"ROCKING GIFTS Adorno de Pared Flor de Loto, Macrame, Madera, 31x80 cm",29616SG,31,3,0.02%,0.07%,38,4,0.01%,0.06%,88.24%,50.00%,1,0,3.23%,0.00%,"35,90 €","0,00 €",1,0
B0CWP7WQ93,B0CW6PDWTW,ROCKING GIFTS Figura Decorativa Coral Blanco Resina 25 cm,31344SGFBA,5,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,1,0,20.00%,0.00%,"44,00 €","0,00 €",1,0
B0CW6PJ5JX,B0CW6PJ5JX,"ROCKING GIFTS Espejo de Pared Grande de Cuerpo Entero de Madera Marrón Oscuro, Vertical o Horizontal, para Dormitorio, Entrada, Salón, 170 cm",30993SG,36,1,0.02%,0.02%,44,1,0.02%,0.02%,90.70%,100.00%,1,0,2.78%,0.00%,"356,00 €","0,00 €",1,0
B0CW6QYG5V,B0CW6QYG5V,"ROCKING GIFTS Perchero Pared Percha de Hierro Colado Marrón Oscuro con 3 Ganchos, Colgador Correa Perro Decorativo para Entrada Recibidor, 19 cm",30343SG,12,1,0.01%,0.02%,16,1,0.01%,0.02%,100.00%,100.00%,1,0,8.33%,0.00%,"12,70 €","0,00 €",1,0
B0CWSFHD1S,B0CW6YY9QB,ROCKING GIFTS Lampara de Sobremesa Mosaico Cristal 26 cm,32349SG,22,0,0.01%,0.00%,27,0,0.01%,0.00%,68.00%,0.00%,1,0,4.55%,0.00%,"66,30 €","0,00 €",1,0
B0BZ4P6CRT,B0CW7328J6,"ROCKING GIFTS Llavero de Cavallito de Mar en Latón Dorado Vintage, Regalo Náutico, 7 cm",30174SG,6,0,0.00%,0.00%,8,0,0.00%,0.00%,100.00%,0.00%,1,0,16.67%,0.00%,"8,60 €","0,00 €",1,0
B0CW79CQLD,B0CW79CQLD,"ROCKING GIFTS Plato Bandeja Centro de Mesa de Madera, Diseño Árbol de la Vida Marrón, Vaciabolsillos Decorativo para Entrada, Comedor, 25 cm",30928SG,12,0,0.01%,0.00%,16,0,0.01%,0.00%,100.00%,0.00%,1,0,8.33%,0.00%,"22,40 €","0,00 €",1,0
B0CJFJLBGS,B0CWFFRRG1,"ROCKING GIFTS Salvamantel Redondo de Cerámica, Peces Azules, Modelo Surtido (1 Unidad), Protector Mantel Decoración Náutica, 20 cm",29307SGR,43,0,0.02%,0.00%,50,0,0.02%,0.00%,95.74%,0.00%,1,0,2.33%,0.00%,"9,90 €","0,00 €",1,0
B0CLVWRS68,B0CWRVNV2C,ROCKING GIFTS Tapa Contador Cuadro Luces Madera Multifotos Marron 48 cm,amzn.gr.283958DC-htQ-c4kLNTtDJlNzYCsU-VG,533,18,0.28%,0.39%,650,25,0.24%,0.40%,99.83%,100.00%,1,0,0.19%,0.00%,"19,24 €","0,00 €",1,0
B0DFVJNXW7,B0D47PFYC9,"Estuche de Tela Beige con Flores, Neceser Viaje para Maquillaje, Almacenaje Portalápices, 21 cm",3064125CLMFBA,25,0,0.01%,0.00%,30,0,0.01%,0.00%,100.00%,0.00%,1,0,4.00%,0.00%,"13,95 €","0,00 €",1,0
B0DJ5Z4Z5F,B0D47QGBBG,"ROCKING GIFTS Escobillero Baño WC de Cerámica Verde Mate y Mango Plateado, Diseño Minimalista",2574107CLM,80,0,0.04%,0.00%,91,0,0.03%,0.00%,100.00%,0.00%,1,0,1.25%,0.00%,"22,45 €","0,00 €",1,0
B0DJ5Z4Z5F,B0D47QGBBG,"ROCKING GIFTS Escobillero Baño WC de Cerámica Verde Mate y Mango Plateado, Diseño Minimalista",2574107CLMFBA,80,0,0.04%,0.00%,91,0,0.03%,0.00%,100.00%,0.00%,1,0,1.25%,0.00%,"23,95 €","0,00 €",1,0
B0D47QTRHQ,B0D47QTRHQ,"ROCKING GIFTS Juego de Café 6 Tazas Pequeñas 90ML con Plato, Cerámica Blanca con Flores Azules Vintage, Apto Lavavajillas y Microondas, para Invitados Fiesta",2776992CLM,115,2,0.06%,0.04%,160,2,0.06%,0.03%,98.63%,100.00%,1,0,0.87%,0.00%,"26,00 €","0,00 €",1,0
B0D47R6T62,B0D47R6T62,"ROCKING GIFTS Set de x2 Marco de Fotos 15x20 para Fotografía Comunión Niña, Madera Rosa, 2 Portafotos para Recuerdo, 22 cm",2597604CLM,22,0,0.01%,0.00%,33,0,0.01%,0.00%,96.15%,0.00%,1,0,4.55%,0.00%,"18,55 €","0,00 €",1,0
B0FL83L5ZX,B0D47RBZTH,ROCKING GIFTS Felpudo Antideslizante Entrada Puerta de Casa Fibra de Coco Familia 70x40 cm,306332CLM,46,3,0.02%,0.07%,51,4,0.02%,0.06%,100.00%,0.00%,1,0,2.17%,0.00%,"20,20 €","0,00 €",1,0
B0FL83L5ZX,B0D47RFRYW,ROCKING GIFTS Felpudo Antideslizante Entrada Puerta de Casa Fibra de Coco Margaritas 70x40 cm,306338CLM,42,0,0.02%,0.00%,55,0,0.02%,0.00%,100.00%,0.00%,1,0,2.38%,0.00%,"20,20 €","0,00 €",1,0
B0D47RGH91,B0D47RGH91,"ROCKING GIFTS Papel Craft de Regalo Estampado Panot de Barcelona, Marrón y Gris, 200x70cm",3041201CLM,16,0,0.01%,0.00%,21,0,0.01%,0.00%,100.00%,0.00%,1,0,6.25%,0.00%,"8,50 €","0,00 €",1,0
B0DJ61DGHG,B0D47RM7L6,"ROCKING GIFTS Taza Tisana de cerámica con Capacidad de 350ml con Filtro para infusiones y té, Missatge en Català, Regalo Día de la Madre, Apto Lavavajillas",2776973CLM,106,0,0.06%,0.00%,117,0,0.04%,0.00%,99.09%,0.00%,1,0,0.94%,0.00%,"16,40 €","0,00 €",1,0
B0D47RSH4K,B0D47RSH4K,"ROCKING GIFTS Caja Rectangular de Metal Roja para Botiquín, Organizador Primeros Auxilios para Baño, 19 x 13 x 6.5cm",308621CLM,67,1,0.03%,0.02%,90,1,0.03%,0.02%,100.00%,100.00%,1,0,1.49%,0.00%,"14,95 €","0,00 €",1,0
B0D47RZTCW,B0D47RZTCW,"ROCKING GIFTS Set de x2 Bolsa de Papel Mediana para Embalaje Fácil de Regalo Día del Padre, 2 Modelos en Español Incluídos, 18 x 10 x 23cm",2185641CLM,52,1,0.03%,0.02%,60,1,0.02%,0.02%,98.31%,100.00%,1,0,1.92%,0.00%,"9,10 €","0,00 €",1,0
B0FL83L5ZX,B0D47S37JF,ROCKING GIFTS Felpudo Antideslizante Entrada Puerta de Casa Fibra de Coco Furgoneta 70x40 cm,306336CLM,27,0,0.01%,0.00%,35,0,0.01%,0.00%,100.00%,0.00%,1,0,3.70%,0.00%,"20,20 €","0,00 €",1,0
B0DJTHDPB9,B0D47S6NFN,"ROCKING GIFTS Salero de Cocina de Ceramica con Tapa de Madera, La Sal de mi Vida, Bote para Sal Blanco y Marrón, Accesorios de Cocina, 12 cm",2676111CLM,64,1,0.03%,0.02%,69,1,0.03%,0.02%,96.97%,100.00%,1,0,1.56%,0.00%,"21,40 €","0,00 €",1,0
B0D47S7JP3,B0D47S7JP3,"ROCKING GIFTS Iman Nevera de Goma de Caganer de Navidad Catalana, Magnético Frigorífico Divertido, Decoracion Navideña para Cocina, 5 cm",2889192CLM,26,0,0.01%,0.00%,42,0,0.02%,0.00%,97.44%,0.00%,1,0,3.85%,0.00%,"8,90 €","0,00 €",1,0
B0FL83L5ZX,B0D47S94K5,ROCKING GIFTS Felpudo Antideslizante Entrada Puerta de Casa Fibra de Coco Hola Smile 75x25 cm,2857166CLM,26,1,0.01%,0.02%,37,3,0.01%,0.05%,96.88%,0.00%,1,0,3.85%,0.00%,"18,15 €","0,00 €",1,0
B0DNY5SG3M,B0D47SKNW7,"ROCKING GIFTS Juego de Café 6 Tazas Pequeñas 90ML con Plato, Cerámica Gris Panot Barcelona, Apto Lavavajillas y Microondas, para Invitados Fiesta",2776986CLM,92,1,0.05%,0.02%,115,1,0.04%,0.02%,98.11%,0.00%,1,0,1.09%,0.00%,"27,35 €","0,00 €",1,0
B0D47SR28Y,B0D47SR28Y,"ROCKING GIFTS Bolsa de Papel Grande para Embalaje Fácil de Regalos de Comunión Niño, Blanco y Azul, 26 x 10 x 32cm",2185650CLM,214,3,0.11%,0.07%,263,3,0.10%,0.05%,99.17%,100.00%,1,0,0.47%,0.00%,"8,50 €","0,00 €",1,0
B0CWPLD38B,B0D47SZLRC,"ROCKING GIFTS Sujetapuertas Peluche Perro Salchicha con Estampado Cuadros Gris, Sujetador Tope Puerta de Tela Decorativo, 31 cm",22213007CLM,15,0,0.01%,0.00%,16,0,0.01%,0.00%,100.00%,0.00%,1,0,6.67%,0.00%,"22,35 €","0,00 €",1,0
B0D47SZX53,B0D47SZX53,"ROCKING GIFTS Bolsa de Papel XL para Embalaje Fácil de Regalos de Comunión Niña, Blanco y Rosa, 33 x 10 x 45cm",2185647CLM,154,2,0.08%,0.04%,197,4,0.07%,0.06%,99.44%,100.00%,1,0,0.65%,0.00%,"8,90 €","0,00 €",1,0
B0D47TCK91,B0D47TCK91,"ROCKING GIFTS Set de x3 Iman Nevera de Goma Reyes Magos de Navidad, 3 Modelos Incluídos, Magnético Frigorífico Decorativo, Decoracion Navideña para Cocina",2889191CLM,21,0,0.01%,0.00%,41,0,0.02%,0.00%,97.14%,0.00%,1,0,4.76%,0.00%,"3,90 €","0,00 €",1,0
