ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0DNY5X9Z3,B0DLBTCBQG,ROCKING GIFTS Quesera Redonda de Madera con Tapa 19x19 cm,2676122CLMFBA,531,15,0.28%,0.33%,718,20,0.27%,0.32%,99.38%,100.00%,19,1,3.58%,6.67%,"428,98 €","21,95 €",17,1
B0CLS9TMSM,B010TME0D6,"ROCKING GIFTS Monolito de Selenita Blanco Natural Pequeño, Eisberg Torre Skyscraper Catedral Cascada Aprox. 10 cm de Alto, procedencia Marruecos, Cristal y Minerales",879VCFBA,221,3,0.12%,0.07%,311,6,0.12%,0.10%,97.83%,100.00%,19,4,8.60%,133.33%,"226,85 €","47,00 €",16,2
B07D9VS258,B07D9VS258,"ROCKING GIFTS Esfera de Selenita Pequeña (4cm): Bola de Cristal Natural Pulida, Energía Positiva, Meditación, Yoga, Limpieza y Armonización de Chakras, Feng Shui, Decoración Hogar",4798VCFBA,280,10,0.15%,0.22%,394,13,0.15%,0.21%,100.00%,100.00%,17,1,6.07%,10.00%,"183,38 €","10,58 €",16,1
B08WR9QVR3,B08WR9QVR3,"Set Taza Mug 350ML x2 Regalo Jubilación - Taza Original Divertida para Desayuno Café Té, Cerámica 10 cm - Regalo para Hombre Mujer, Despedida Jubilada Profesor Maestra Amigo Jefe",2776653CLMFBA,847,5,0.44%,0.11%,"1,150",5,0.43%,0.08%,99.90%,100.00%,16,1,1.89%,20.00%,"302,82 €","18,57 €",16,1
B0DHT539NY,B0BHF4TDK6,ROCKING GIFTS Azucarero de Cerámica Negro con Tapa de Bambú y Cuchara: Elegancia Natural para tu Mesa,2776780CLMFBA,405,12,0.21%,0.26%,541,19,0.20%,0.30%,100.00%,100.00%,16,2,3.95%,16.67%,"266,54 €","32,59 €",16,2
B074PCYHBY,B074PCYHBY,"ROCKING GIFTS Calzador de Zapatos, Botas, Largo, Ideal para personas mayores, con Rascador, Mano de Madera 45 cm",40256MDFBA,232,6,0.12%,0.13%,353,7,0.13%,0.11%,98.37%,100.00%,15,1,6.47%,16.67%,"448,65 €","29,35 €",15,1
B07THFWD1Z,B07THFWD1Z,Home Gadgets Azucarero Cocina con Tapa Original Acrilico con Cuchara,253253CLM,"1,613",54,0.84%,1.17%,"2,303",78,0.87%,1.24%,99.39%,100.00%,16,0,0.99%,0.00%,"205,65 €","0,00 €",15,0
B0CH34HNV3,B08WR8PXHQ,"ROCKING GIFTS Posavasos de Madera Juego 4 Unidades Panot Barcelona 10 cm, Accesorios para Cocina, Mesa, Vasos,Vino, Cerveza, Regalos Originales",2182970CLMFBA,227,8,0.12%,0.17%,322,17,0.12%,0.27%,100.00%,100.00%,19,0,8.37%,0.00%,"284,05 €","0,00 €",15,0
B0CLS9TMSM,B09GS853VW,"ROCKING GIFTS Monolito de Selenita Mini Blanco Natural Pequeño, Eisberg Torre Skyscraper Catedral Cascada con Base Aprox. 6 cm de Alto, procedencia Marruecos, Cristal y Minerales",7818VCFBA,260,5,0.14%,0.11%,374,5,0.14%,0.08%,99.71%,100.00%,18,0,6.92%,0.00%,"198,18 €","0,00 €",15,0
B0DJ61DGHG,B09X8LF1L3,ROCKING GIFTS Mug Taza Cerámica 350ML Panot Barcelona Gris 11 cm,2776759CLMFBA,266,17,0.14%,0.37%,354,19,0.13%,0.30%,100.00%,100.00%,18,3,6.77%,17.65%,"215,82 €","35,97 €",15,1
B0D47R93K3,B0D47R93K3,"ROCKING GIFTS Joyero de Polipiel y Terciopelo con Compartimentos y Espejo, Primera Comunión de Niña, Blanco y Rosa, Organizador Bisutería y Pequeños Objetos, 20 cm",2890438CLM,"1,122",18,0.59%,0.39%,"1,654",23,0.62%,0.37%,99.42%,100.00%,18,0,1.60%,0.00%,"714,27 €","0,00 €",15,0
B0CX9MJ5X3,B0DLBP928L,ROCKING GIFTS Juego de Baño Dispensador Jabon y Vaso de Baño Gotas,22212986CLMFBA,780,10,0.41%,0.22%,978,12,0.37%,0.19%,100.00%,100.00%,15,0,1.92%,0.00%,"300,18 €","0,00 €",15,0
B0G2JQ8WDT,B0G2JQ8WDT,ROCKING GIFTS Cinta Decorativa San Jordi Poliéster 500cm para Envolver Regalos Manualidades Decoración Fiestas Cestas Adornos Florales Proyectos DIY y Eventos Especiales,2714410CLM,398,44,0.21%,0.96%,545,58,0.20%,0.92%,98.57%,100.00%,19,5,4.77%,11.36%,"286,65 €","74,91 €",15,3
B076N77P7C,B076N77P7C,"Geodas de Cuarzo Blanco Mini Seccionada Minerales y Cristales, Belleza energética, Meditacion, Amuletos Espirituales",875VCFBA,364,12,0.19%,0.26%,503,18,0.19%,0.29%,99.54%,100.00%,14,0,3.85%,0.00%,"155,58 €","0,00 €",14,0
B08MYYNNL9,B08MYYNNL9,Vidal Regalos Marco de Fotos 15 x 20 cm Portafotos Imitacion Marmol Blanco Elegante 27 cm,2597164CLMFBA,202,6,0.11%,0.13%,263,6,0.10%,0.10%,100.00%,100.00%,16,0,7.92%,0.00%,"223,20 €","0,00 €",14,0
B0CLFH4D8V,B0BRYLBZ7M,ROCKING GIFTS Péndulo Karnak Pequeño de Cobre,10638VCFBA,217,3,0.11%,0.07%,347,8,0.13%,0.13%,99.36%,100.00%,19,0,8.76%,0.00%,"210,25 €","0,00 €",14,0
B0DJTJ72FW,B0DFZ9GP7K,"Colgante de Cianita en Bruto para Meditación, Cristal Azul Natural, Mineral de Alta Vibra, Joyería Energética, Ideal para Reiki y Sanación, Piedra Protectora, Cristal de Energía Positiva",2166VCFBA,234,4,0.12%,0.09%,339,4,0.13%,0.06%,100.00%,100.00%,15,0,6.41%,0.00%,"149,85 €","0,00 €",14,0
B0CX9MJ5X3,B0BHF5BZ6G,ROCKING GIFTS Juego de Baño 2 Piezas Jabonera y Vaso Natural Ceramica 17 cm,257468CLMFBA,942,15,0.49%,0.33%,"1,124",23,0.42%,0.37%,99.72%,95.65%,14,1,1.49%,6.67%,"276,06 €","16,19 €",13,1
B0CNKWMYRT,B0CLZY2RMY,ROCKING GIFTS Colgante de Shungit Oliva,7490VCFBA,257,12,0.13%,0.26%,399,21,0.15%,0.33%,100.00%,100.00%,14,1,5.45%,8.33%,"192,65 €","11,30 €",13,1
B0CW6M5LDL,B0CW6M5LDL,ROCKING GIFTS Adorno de Pared Lagarto Colores Mosaico 45 cm,31612SGFBA,325,15,0.17%,0.33%,520,48,0.20%,0.77%,99.30%,100.00%,15,0,4.62%,0.00%,"360,22 €","0,00 €",13,0
B0DJTHDPB9,B0F1TYLNMD,"ROCKING GIFTS Salero de Cerámica Blanca con Tapa de Madera, 12 cm, Bote para Sal y Especias para la Cocina y Reposar en Pared",2546216CLMFBA,420,9,0.22%,0.20%,697,13,0.26%,0.21%,99.38%,100.00%,13,0,3.10%,0.00%,"278,60 €","0,00 €",13,0
B0DNY5S4HH,B0GFDSN2Z4,"ROCKING GIFTS Piñata Plegable Comunión Papel, Piñata Fiesta Comunión, Decoración De Papel 49x40 cm, para Celebraciones",3097101CLM,210,8,0.11%,0.17%,303,11,0.11%,0.18%,96.38%,100.00%,13,0,6.19%,0.00%,"190,55 €","0,00 €",13,0
B075VYVVRV,B075VYVVRV,"Termometro Galileo Bombilla de Cristal 15 cm , Para Exterior o Interior, Analógico, Bolas Flotantes",12784SGFBA,566,14,0.30%,0.30%,856,17,0.32%,0.27%,97.77%,93.75%,12,0,2.12%,0.00%,"462,00 €","0,00 €",12,0
B0BVZFJR91,B07TFBJCZF,ROCKING GIFTS Espejo Decorativo de Pared Plateado 50 cm diametro para Colgar,278438CLM,"2,313",38,1.21%,0.83%,"3,274",44,1.23%,0.70%,99.89%,100.00%,12,2,0.52%,5.26%,"374,66 €","60,66 €",12,2
B07XSMQFBG,B07XSMQFBG,"Caja de madera con tapa tallada, 22 cm, color: Blanco",291440CLMFBA,963,22,0.50%,0.48%,"1,425",24,0.54%,0.38%,99.42%,100.00%,13,1,1.35%,4.55%,"362,79 €","27,39 €",12,1
B0FXVP4LDG,B0859N3R3B,"Home Gadgets Bote Cristal Sal 17 cm: Tarro de Cristal para Sal con Cierre Hermético, Recipiente de Cocina para Conservar Especias, Apto Lavavajillas",2682204CLMFBA,429,6,0.22%,0.13%,564,12,0.21%,0.19%,99.38%,100.00%,12,0,2.80%,0.00%,"203,40 €","0,00 €",12,0
