sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
11046VC	B0CL3BGCTT	20.00	95	19.6	fixed	6	17.00	12	15.00	18	14.60	50	14.00											
11047VC	B0CLBDS4J5	36.10	8627	35.38	fixed	6	30.69	12	27.08	18	26.36	50	25.27											
11049VC	B0CLBFBNK5	26.80	2749	26.26	fixed	6	22.78	12	20.10	18	19.57	50	18.76											
11050VC	B0CL3CKRL4	26.80	1040	26.26	fixed	6	22.78	12	20.10	18	19.57	50	18.76											
11051VC	B0CLBFYC57	15.50	316	15.19	fixed	6	13.18	12	11.63	18	11.32	50	10.85											
11053VC	B0CLBF7PDG	18.00	4252	17.64	fixed	6	15.30	12	13.50	18	13.14	50	12.60											
11054VC	B0CLBDYZBH	15.50	1478	15.19	fixed	6	13.18	12	11.63	18	11.32	50	10.85											
11058VC	B0CLBD5867	23.80	8058	23.32	fixed	6	20.23	12	17.85	18	17.38	50	16.66											
11060VC	B0CLBQW5QM	21.10	280	20.68	fixed	6	17.94	12	15.83	18	15.41	50	14.77											
11061VC	B0CLBLFVZZ	23.00	995	22.54	fixed	6	19.55	12	17.25	18	16.79	50	16.10											
11062VC	B0CLBFPV17	12.40	3214	12.15	fixed	6	10.54	12	9.30	18	9.06	50	8.68											
11063VC	B0CLBFFBR9	45.50	1179	44.59	fixed	6	38.68	12	34.13	18	33.22	50	31.85											
11064VC	B0CLBF83S6	15.95	353	15.63	fixed	6	13.56	12	11.97	18	11.65	50	11.17											
11068VC	B0CL3BRL4Z	24.30	2208	23.81	fixed	6	20.66	12	18.23	18	17.74	50	17.01											
11069VC	B0CL3BHG3T	24.30	9650	23.81	fixed	6	20.66	12	18.23	18	17.74	50	17.01											
11074VC	B0CL3B96R3	25.99	82	25.47	fixed	6	22.10	12	19.50	18	18.98	50	18.20											
